Group,,activeArea,firingRate_mean,firingRate_std,firingRate_CV,firingRate_median,firingRate_P10,firingRate_P90,amplitude_mean,amplitude_std,amplitude_CV,amplitude_median,amplitude_P10,amplitude_P90,ISI_mean,ISI_std,ISI_CV,ISI_median,ISI_P10,ISI_P90,date,wellplateID,wellNo,runID,assayTag,div,wellGroupName,wellGroupColor,Plating Date,control
,Instance,Active Area,Mean Firing Rate,Firing Rate std,Firing Rate CV,Median Firing Rate,Firing Rate 10th percentile,Firing Rate 90th percentile,Mean Spike Amplitude,Spike Amplitude std,Spike Amplitude CV,Median Spike Amplitude,Spike Amplitude 10th percentile,Spike Amplitude 90th percentile,Mean ISI,ISI std,ISI CV,Median ISI,ISI 10th percentile,ISI 90th percentile,Date,Wellplate ID,Well Number,Assay Run ID,Assay Tag,DIV,Well Group Name,Well Group Color,,Control
1,1,0.56,0.44,0.41,0.92,0.36,0.12,0.75,78.17,29.89,0.38,75,58.19,95.95,55.21,25.19,0.46,52.43,33.8,78.18,4/17/2024,T002604,1,82,DOP28 W3 Organoids T002604,28,Default Group,#999999,20.3.2024,0
1,2,7.11,0.48,0.41,0.85,0.35,0.13,1,79.92,35.01,0.44,69.59,51.12,120.74,54.9,27.41,0.5,48.14,28.2,88.11,4/17/2024,T002604,2,82,DOP28 W3 Organoids T002604,28,Default Group,#999999,20.3.2024,1
1,3,8.33,0.38,0.3,0.78,0.28,0.13,0.7,71.85,33.55,0.47,61.97,48.07,104.14,56.01,31.56,0.56,48.02,26.83,101.48,4/17/2024,T002604,3,82,DOP28 W3 Organoids T002604,28,Default Group,#999999,20.3.2024,0
1,4,13.57,0.43,0.37,0.85,0.32,0.13,0.84,70.8,31.66,0.45,60.35,45.49,107.44,56.75,28.8,0.51,49.78,29.1,94.3,4/17/2024,T002604,4,82,DOP28 W3 Organoids T002604,28,Default Group,#999999,20.3.2024,0
1,5,12.65,0.52,0.4,0.77,0.38,0.15,1.08,68.09,35.97,0.53,59.87,46.87,93.93,60.57,31.03,0.51,53.8,29.85,100.99,4/17/2024,T002604,5,82,DOP28 W3 Organoids T002604,28,Default Group,#999999,20.3.2024,0
1,6,17.81,0.53,0.41,0.78,0.38,0.15,1.1,62.43,28.44,0.46,53.82,40.66,91.8,56.38,26.65,0.47,50.59,29.5,88.3,4/17/2024,T002604,6,82,DOP28 W3 Organoids T002604,28,Default Group,#999999,20.3.2024,0
1,7,2.29,0.23,0.11,0.47,0.18,0.12,0.4,68.98,27.39,0.4,60.54,47.17,103.55,53.64,42.94,0.8,39,24.98,111.95,4/17/2024,T002604,7,82,DOP28 W3 Organoids T002604,28,Default Group,#999999,20.3.2024,0
1,8,2.77,0.33,0.28,0.82,0.23,0.12,0.68,70.86,24.51,0.35,66.03,49.38,97.22,56.8,29.99,0.53,47.58,29.47,98.49,4/17/2024,T002604,8,82,DOP28 W3 Organoids T002604,28,Default Group,#999999,20.3.2024,1
1,9,0.17,1.14,1.28,1.13,0.41,0.2,3.08,33.73,4.67,0.14,33.3,29.02,39.17,70.99,23.04,0.32,70.06,50.08,102.26,4/17/2024,T002604,9,82,DOP28 W3 Organoids T002604,28,Default Group,#999999,20.3.2024,0
1,10,0.11,0.98,0.93,0.96,0.55,0.16,2.39,40.24,4.18,0.1,38.75,36.46,45.51,87.12,43.82,0.5,77.58,58.76,119.96,4/17/2024,T002604,10,82,DOP28 W3 Organoids T002604,28,Default Group,#999999,20.3.2024,0
1,11,0.12,0.74,0.56,0.75,0.6,0.3,1.7,34.63,5.31,0.15,35.32,28.28,39.71,47.15,10.23,0.22,44.42,33.53,60.65,4/17/2024,T002604,11,82,DOP28 W3 Organoids T002604,28,Default Group,#999999,20.3.2024,0
