Group,,activeArea,firingRate_mean,firingRate_std,firingRate_CV,firingRate_median,firingRate_P10,firingRate_P90,amplitude_mean,amplitude_std,amplitude_CV,amplitude_median,amplitude_P10,amplitude_P90,ISI_mean,ISI_std,ISI_CV,ISI_median,ISI_P10,ISI_P90,date,wellplateID,wellNo,runID,assayTag,div,wellGroupName,wellGroupColor,Plating Date,control
,Instance,Active Area,Mean Firing Rate,Firing Rate std,Firing Rate CV,Median Firing Rate,Firing Rate 10th percentile,Firing Rate 90th percentile,Mean Spike Amplitude,Spike Amplitude std,Spike Amplitude CV,Median Spike Amplitude,Spike Amplitude 10th percentile,Spike Amplitude 90th percentile,Mean ISI,ISI std,ISI CV,Median ISI,ISI 10th percentile,ISI 90th percentile,Date,Wellplate ID,Well Number,Assay Run ID,Assay Tag,DIV,Well Group Name,Well Group Color,,Control
1,1,0.61,0.75,0.8,1.06,0.43,0.12,1.43,43.45,23.32,0.54,38.22,31.68,58.5,89.19,30.27,0.34,90.19,54.82,118.09,4/26/2024,M05357,1,9,DOP2 W3 Organoids M05357,2,Default Group,#999999,15.2.2024,0
1,2,0.65,0.51,0.54,1.05,0.3,0.13,1.06,43.12,10.68,0.25,43.69,30.12,52.24,79.45,35.82,0.45,81.49,31.69,128.85,4/26/2024,M05357,2,9,DOP2 W3 Organoids M05357,2,Default Group,#999999,15.2.2024,0
1,3,0.52,0.36,0.22,0.63,0.36,0.13,0.58,52.57,39.59,0.75,40.53,27.01,94.03,90.85,41.36,0.46,84.42,51.04,144.7,4/26/2024,M05357,3,9,DOP2 W3 Organoids M05357,2,Default Group,#999999,15.2.2024,0
1,4,0.37,0.71,0.65,0.91,0.36,0.12,1.72,42.1,16.41,0.39,37.07,31.55,56,82.3,27.15,0.33,81.2,49.1,113.96,4/26/2024,M05357,4,9,DOP2 W3 Organoids M05357,2,Default Group,#999999,15.2.2024,0
1,5,0.35,2.81,4.05,1.44,0.32,0.12,9.2,57.23,21.44,0.37,56.58,37.34,84.27,74.62,27.96,0.37,71.76,52.07,102.14,4/26/2024,M05357,5,9,DOP2 W3 Organoids M05357,2,Default Group,#999999,15.2.2024,0
1,6,0.17,0.38,0.32,0.85,0.26,0.12,0.72,40.24,10.88,0.27,36.42,29.95,50.56,40.69,30.68,0.75,37.68,8.33,72.08,4/26/2024,M05357,6,9,DOP2 W3 Organoids M05357,2,Default Group,#999999,15.2.2024,0
1,7,0.67,0.57,0.75,1.32,0.23,0.13,2.07,37.2,10.78,0.29,34.88,25.35,53.28,70.61,43.25,0.61,73.4,4.15,109,4/26/2024,M04707,1,11,DOP2 W3 Organoids M04707,2,Default Group,#999999,24.4.2024,0
1,8,0.25,0.24,0.09,0.36,0.24,0.13,0.37,38.26,6.76,0.18,37.96,30.16,46.84,84.01,54.5,0.65,88.9,10.47,146.63,4/26/2024,M04707,2,11,DOP2 W3 Organoids M04707,2,Default Group,#999999,24.4.2024,0
1,9,0.36,0.28,0.3,1.08,0.2,0.12,0.41,51.95,17.98,0.35,47.95,29.17,65.27,70.94,42.5,0.6,65.53,4.98,123.24,4/26/2024,M04707,3,11,DOP2 W3 Organoids M04707,2,Default Group,#999999,24.4.2024,0
1,10,0.65,0.44,0.3,0.67,0.38,0.13,0.76,40.11,13.41,0.33,33.16,27.62,61.17,85.13,42.27,0.5,79.86,35.11,139.62,4/26/2024,M04707,4,11,DOP2 W3 Organoids M04707,2,Default Group,#999999,24.4.2024,0
1,11,0.66,1,1.3,1.3,0.3,0.13,3.55,44.37,12.74,0.29,42.71,28.68,65.18,91.18,44.13,0.48,83.41,55.71,170.44,4/26/2024,M04707,5,11,DOP2 W3 Organoids M04707,2,Default Group,#999999,24.4.2024,0
1,12,0.33,0.18,0.06,0.35,0.17,0.12,0.25,42.27,12.08,0.29,40.04,30.14,55.95,85.19,48.68,0.57,79.5,30.21,145.7,4/26/2024,M04707,6,11,DOP2 W3 Organoids M04707,2,Default Group,#999999,24.4.2024,0
1,13,2.35,3.78,4.93,1.3,1.57,0.18,11.54,786,509.81,0.65,724.67,124.01,1583.92,32.09,18.32,0.57,31.12,9.85,56.49,4/26/2024,M04632,1,17,DOP2 W3 Organoids M04632,2,Default Group,#999999,24.4.2024,0
1,14,2.67,5.04,5.95,1.18,3.14,0.3,11.62,676.68,398.99,0.59,561.58,236.9,1156.48,28.02,17.93,0.64,25.75,10.59,46.97,4/26/2024,M04632,2,17,DOP2 W3 Organoids M04632,2,Default Group,#999999,24.4.2024,0
1,15,2.3,6.36,9.66,1.52,1.89,0.2,18.54,644.35,493.99,0.77,515.92,117.69,1667.15,30.16,17.61,0.58,27.92,11.06,52.04,4/26/2024,M04632,3,17,DOP2 W3 Organoids M04632,2,Default Group,#999999,24.4.2024,0
1,16,1.2,3.89,4.92,1.27,1.7,0.15,12.4,693.09,473.26,0.68,651.78,62.35,1346.97,32.13,25.46,0.79,28.28,5.02,51.48,4/26/2024,M04632,4,17,DOP2 W3 Organoids M04632,2,Default Group,#999999,24.4.2024,0
1,17,2.55,4.26,5.59,1.31,1.81,0.23,13.58,637.32,353.58,0.55,550.38,259.29,1143.98,30.53,26.63,0.87,27.07,7.88,50.51,4/26/2024,M04632,5,17,DOP2 W3 Organoids M04632,2,Default Group,#999999,24.4.2024,0
1,18,2.94,3.99,5.36,1.34,2.41,0.23,9.57,728.78,399.04,0.55,689.51,241.21,1222.5,32.04,15.84,0.49,29.91,17.93,45.62,4/26/2024,M04632,6,17,DOP2 W3 Organoids M04632,2,Default Group,#999999,24.4.2024,0
1,19,0.49,0.38,0.37,0.97,0.22,0.13,0.99,56.5,44.04,0.78,39.66,31.95,93.14,51.32,27.53,0.54,48.38,27.34,77.72,4/26/2024,M05368,1,20,DOP2 W3 Organoids M05368,2,Default Group,#999999,24.4.2024,0
1,20,0.31,0.27,0.17,0.64,0.23,0.13,0.38,56.82,27.45,0.48,47.89,26.63,87.03,61.25,29.36,0.48,64.54,31.29,88.56,4/26/2024,M05368,2,20,DOP2 W3 Organoids M05368,2,Default Group,#999999,24.4.2024,0
1,21,0.22,0.77,0.76,0.99,0.27,0.12,2.01,38.74,15.29,0.39,30.58,27.27,56.18,68.41,29.48,0.43,70.49,38.16,87.35,4/26/2024,M05368,3,20,DOP2 W3 Organoids M05368,2,Default Group,#999999,24.4.2024,0
1,22,0.09,0.23,0.15,0.65,0.16,0.13,0.48,45.14,8.51,0.19,40.9,38.12,53.16,57.28,25.05,0.44,49.2,39.45,79.9,4/26/2024,M05368,4,20,DOP2 W3 Organoids M05368,2,Default Group,#999999,24.4.2024,0
1,23,0.12,0.21,0.12,0.55,0.17,0.12,0.4,49.2,16.1,0.33,43.58,38.4,57,61.62,31.33,0.51,55.22,33.64,91.84,4/26/2024,M05368,5,20,DOP2 W3 Organoids M05368,2,Default Group,#999999,24.4.2024,0
1,24,0.2,6.74,6.24,0.92,11.88,0.12,12.64,96.25,51.75,0.54,134.56,31.78,144.65,61.16,3.81,0.06,60.9,58.52,67.27,4/26/2024,M05368,6,20,DOP2 W3 Organoids M05368,2,Default Group,#999999,24.4.2024,0
1,25,1.26,0.44,0.38,0.86,0.27,0.12,1.05,42.52,18.06,0.42,38.07,24.43,70.13,75.39,32.79,0.43,71.3,38.18,112.26,4/29/2024,M05357,1,24,DOP5 W3 Organoids M05357,5,Default Group,#999999,24.4.2024,0
1,26,2.22,0.36,0.36,1.02,0.23,0.12,0.9,50.22,25.83,0.51,44.05,26.12,77.12,65.32,33.72,0.52,58.99,33.53,110.61,4/29/2024,M05357,2,24,DOP5 W3 Organoids M05357,5,Default Group,#999999,24.4.2024,0
1,27,1.83,0.32,0.24,0.74,0.22,0.12,0.65,48.32,28.7,0.59,41.66,26.28,73.84,74.9,33.12,0.44,70.97,36.18,121.58,4/29/2024,M05357,3,24,DOP5 W3 Organoids M05357,5,Default Group,#999999,24.4.2024,0
